zone_group,zone_detail,viaticos
Sur,Coronel Brandsen,70000
Sur,La Plata,70000
Sur,Berisso,70000
Sur,Ensenada,70000
Oeste,Cañuelas,70000
Oeste,General Las Heras,70000
Oeste,Luján,70000
Oeste,Exaltación de la Cruz,70000
Norte,Zárate,70000
Norte,Campana,60000
Oeste,General Rodriguez,60000
Oeste,Marcos Paz,60000
Oeste,Merlo,60000
Sur,La Matanza Este,60000
Sur,Ezeiza,60000
Sur,Esteban Echeverría,60000
Sur,Presidente Perón,60000
Sur,Florencio Varela,60000
Sur,Berazategui,60000
Norte,Escobar,50000
Norte,Pilar,50000
Oeste,Moreno,50000
Sur,Lomas de Zamora,50000
Sur,Almirante Brown,50000
Sur,Quilmes,50000
Norte,Malvinas Argentinas,30000
Norte,Jose C. Paz,30000
Norte,San Miguel,30000
Oeste,Hurlingham,30000
Oeste,Ituzaingó,30000
Oeste,Morón,30000
Oeste,La Matanza Oeste,30000
Sur,Lanús,30000
Sur,Avellaneda,30000
Norte,Tigre,0
Oeste,San Martin,20000
Oeste,3 de Febrero,20000
Norte,San Fernando,0
Norte,San Isidro,0
Norte,Vicente Lopez,0
CABA,Agronomía,0
CABA,Almagro,0
CABA,Balvanera,10000
CABA,Barracas,10000
CABA,Belgrano,0
CABA,Boedo,0
CABA,Caballito,0
CABA,Chacarita,0
CABA,Coghlan,0
CABA,Colegiales,0
CABA,Constitución,0
CABA,Flores,0
CABA,Floresta,0
CABA,La Boca,20000
CABA,La Paternal,0
CABA,Liniers,0
CABA,Mataderos,0
CABA,Monte Castro,0
CABA,Monserrat,0
CABA,Nueva Pompeya,20000
CABA,Núñez,0
CABA,Palermo,0
CABA,Parque Avellaneda,0
CABA,Parque Chacabuco,0
CABA,Parque Chas,0
CABA,Parque Patricios,0
CABA,Puerto Madero,0
CABA,Recoleta,0
CABA,Retiro,0
CABA,Saavedra,0
CABA,San Cristóbal,0
CABA,San Nicolás,0
CABA,San Telmo,0
CABA,Vélez Sársfield,0
CABA,Versalles,10000
CABA,Villa Crespo,0
CABA,Villa del Parque,0
CABA,Villa Devoto,0
CABA,Villa General Mitre,0
CABA,Villa Lugano,20000
CABA,Villa Luro,20000
CABA,Villa Ortúzar,0
CABA,Villa Pueyrredón,0
CABA,Villa Real,0
CABA,Villa Riachuelo,30000
CABA,Villa Santa Rita,0
CABA,Villa Soldati,30000
CABA,Villa Urquiza,0
